spec_pixel,spec_intensity,nist_wave,nist_intensity
673.712,1696.45,585.25,200
700.126,617.38,594.48,50
722.492,181.31,602.99,100
747.974,1339.68,614.3,100
775.796,290.88,621.73,100
820.02,3428.72,640.22,200
860.822,1265.04,650.65,150
886.09,419.28,659.9,100
913.44,767.24,667.82,50
982.83,635.18,692.94,1000
1013.238,834.96,705.91,100
1134.814,80.86,748.87,300
